ISO28178
# Data formatted with IT8.7/4 patch set
ORIGINATOR	"Idealliance  E,G,J4,T"
CREATED	"December, 2016"
DESCRIPTOR	XCMYK - Expanded gamut reference characterization for high density offset printing
MEASUREMENT_SOURCE	"MeasurementCondition=M1	Filter=D50"
ILLUMINATION_NAME	D50
OBSERVER_ANGLE	2
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	SampleID
NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SampleID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1617
BEGIN_DATA
304	70	70	30	0	11.848	10.311	18.079	38.395	14.119	-26.783
305	70	85	30	0	10.217	7.234	13.614	32.334	28.265	-26.356
306	70	100	30	0	8.159	4.524	7.895	25.332	41.362	-20.213
307	85	0	30	0	14.622	24.93	35.319	57.007	-48.048	-24.849
308	85	10	30	0	13.14	21.496	32.73	53.489	-42.217	-27.139
309	85	20	30	0	12.325	19.05	30.544	50.746	-35.828	-28.521
310	85	30	30	0	11.369	16.581	28.247	47.728	-29.506	-30.029
311	85	40	30	0	10.345	14.041	25.786	44.292	-22.296	-31.766
312	85	55	30	0	9.158	11.008	22.366	39.594	-11.496	-33.58
313	85	70	30	0	7.758	8.001	18.48	33.986	0.401	-35.272
314	85	85	30	0	6.531	5.401	13.79	27.847	14.827	-34.565
315	85	100	30	0	5.152	3.271	8.694	21.098	28.424	-30.5
316	100	0	30	0	8.476	16.025	32.68	47.007	-49.263	-38.238
317	100	10	30	0	7.857	14.21	30.62	44.533	-44.15	-39.351
318	100	20	30	0	7.369	12.79	28.759	42.445	-39.73	-39.98
319	100	30	30	0	6.931	11.48	26.983	40.378	-35.11	-40.584
320	100	40	30	0	6.306	9.848	24.782	37.569	-29.451	-41.574
321	100	55	30	0	5.679	8.063	22.276	34.113	-21.468	-42.856
