ISO28178
# Data formatted with IT8.7/4 patch set
ORIGINATOR	"Idealliance  E,G,J4,T"
CREATED	"December, 2016"
DESCRIPTOR	XCMYK - Expanded gamut reference characterization for high density offset printing
MEASUREMENT_SOURCE	"MeasurementCondition=M1	Filter=D50"
ILLUMINATION_NAME	D50
OBSERVER_ANGLE	2
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	SampleID
NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SampleID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	1617
BEGIN_DATA
202	40	30	20	0	33.256	34.091	36.424	65.035	1.361	-12.564
203	40	40	20	0	30.304	28.78	32.66	60.587	9.835	-14.795
204	40	55	20	0	26.462	22.157	27.242	54.194	22.371	-17.203
205	40	70	20	0	22.927	16.36	21.367	47.443	36.304	-18.092
206	40	85	20	0	19.61	11.652	15.345	40.657	49.827	-16.473
207	40	100	20	0	16.335	8.185	8.858	34.366	59.571	-8.213
208	55	0	20	0	33.05	44.065	46.934	72.272	-30.56	-13.513
209	55	10	20	0	30.561	38.475	43.225	68.369	-22.751	-15.757
210	55	20	20	0	28.103	33.249	39.36	64.362	-14.876	-17.711
211	55	30	20	0	25.367	28.164	35.636	60.036	-7.358	-20.076
212	55	40	20	0	23.072	23.684	32.018	55.77	1.058	-22.131
213	55	55	20	0	20.301	18.39	27.104	49.966	13.118	-24.258
214	55	70	20	0	17.455	13.299	21.266	43.21	27.636	-25.188
215	55	85	20	0	14.978	9.451	15.696	36.839	41.031	-23.919
216	55	100	20	0	12.27	6.331	8.928	30.234	52.214	-15.587
217	70	0	20	0	23.317	34.288	44.569	65.191	-38.449	-22.891
218	70	10	20	0	21.872	30.317	41.539	61.927	-30.956	-24.741
219	70	20	20	0	20.025	26.207	38.177	58.233	-23.868	-26.696
220	70	30	20	0	18.23	22.379	34.835	54.427	-16.588	-28.605
221	70	40	20	0	16.453	18.774	31.357	50.422	-8.972	-30.342
222	70	55	20	0	14.509	14.561	26.599	45.027	2.9	-31.91
223	70	70	20	0	12.431	10.555	21.447	38.821	16.298	-33.116
224	70	85	20	0	10.458	7.216	15.652	32.294	30.282	-31.647
225	70	100	20	0	8.341	4.537	8.951	25.371	42.805	-24.053
226	85	0	20	0	15.698	25.457	42.526	57.518	-43.867	-33.592
227	85	10	20	0	14.476	22.325	39.519	54.371	-37.577	-35.146
228	85	20	20	0	13.262	19.412	36.441	51.166	-31.413	-36.498
229	85	30	20	0	12.152	16.765	33.468	47.963	-25.015	-37.761
230	85	40	20	0	11.19	14.393	30.618	44.791	-18.143	-38.904
231	85	55	20	0	9.646	11.053	26.121	39.67	-7.847	-40.322
232	85	70	20	0	8.251	8.112	21.493	34.215	3.892	-41.148
233	85	85	20	0	6.896	5.512	16.113	28.147	17.257	-39.914
234	85	100	20	0	5.292	3.256	9.692	21.042	30.35	-34.08
235	100	0	20	0	9.394	16.498	38.387	47.621	-44.155	-45.275
236	100	10	20	0	8.717	14.621	36.024	45.111	-39	-46.355
237	100	20	20	0	8.103	13.027	33.67	42.803	-34.448	-46.955
238	100	30	20	0	7.765	11.872	31.931	41.012	-29.819	-47.446
239	100	40	20	0	7.063	10.233	29.453	38.257	-24.657	-48.322
240	100	55	20	0	6.239	8.255	25.762	34.509	-16.978	-48.591
241	100	70	20	0	5.321	6.27	21.837	30.083	-8.274	-48.949
242	100	85	20	0	4.361	4.383	17.302	24.901	1.847	-48.297
243	100	100	20	0	3.217	2.507	10.891	17.952	14.62	-43.292
244	0	0	30	0	79.071	84.456	43.153	93.648	-4.613	27.917
245	0	10	30	0	71.833	72.334	39.529	88.129	4.437	23.045
246	0	20	30	0	65.492	61.86	36.174	82.839	13.489	18.482
247	0	30	30	0	59.892	52.764	32.631	77.736	22.583	14.815
248	0	40	30	0	55.05	45.214	29.192	73.032	31.034	12.055
249	0	55	30	0	48.333	35.075	23.917	65.807	44.571	8.69
250	0	70	30	0	42.589	27.048	18.84	59.019	57.428	7.106
251	0	85	30	0	37.142	20.3	13.48	52.174	69.95	8.211
252	0	100	30	0	31.427	15.086	7.618	45.752	77.928	16.08
253	10	0	30	0	68.337	75.729	42.696	89.733	-9.956	21.738
254	10	10	30	0	62.047	64.967	38.746	84.467	-1.372	17.77
255	10	20	30	0	57.019	56.025	35.51	79.628	7.492	13.882
256	10	30	30	0	51.741	47.34	31.904	74.407	16.627	10.174
