Library|Pantone_Name|Hex|R|G|B|C|M|Y|K|L|a|b|Hex_Source|RGB_Source|CMYK_Source|Lab_Source
Pantone Formula Guide Uncoated|PANTONE 2469 U|#997261|153|114|97|0.0|25.5|36.6|40.0|51.76|14.0|16.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2470 U|#9E8977|158|137|119|0.0|13.3|24.7|38.0|58.82|6.0|13.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2471 U|#AB9386|171|147|134|0.0|14.0|21.6|32.9|62.75|8.0|10.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 2472 U|#746256|116|98|86|0.0|15.5|25.9|54.5|43.14|6.0|10.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7506 U|#FAE0B8|250|224|184|0.0|10.4|26.4|2.0|90.59|5.0|23.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7507 U|#FFDDAB|255|221|171|0.0|13.3|32.9|0.0|90.59|9.0|30.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7508 U|#E0B486|224|180|134|0.0|19.6|40.2|12.2|76.47|12.0|30.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7509 U|#D1A274|209|162|116|0.0|22.5|44.5|18.0|70.2|14.0|31.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7510 U|#BE8C60|190|140|96|0.0|26.3|49.5|25.5|62.35|16.0|31.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7511 U|#A77751|167|119|81|0.0|28.7|51.5|34.5|54.51|16.0|29.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 7512 U|#976B48|151|107|72|0.0|29.1|52.3|40.8|49.41|15.0|27.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 719 U|#F1C6A3|241|198|163|0.0|17.8|32.4|5.5|83.14|12.0|24.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 720 U|#EDBA94|237|186|148|0.0|21.5|37.6|7.1|79.61|15.0|27.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
Pantone Formula Guide Uncoated|PANTONE 721 U|#DEA880|222|168|128|0.0|24.3|42.3|12.9|73.33|17.0|29.0|COMPUTED|COMPUTED|COMPUTED|PANTONE_PUBLISHED
